content,score
"I would give this 5 star, but one key flaw it knows what I say without me telling it and that's invasion of privacy",1
This is a completely useless app. Don't download it if you want to waste your time,1
used to be good and helpful but it is now all for the money. full of errors for just simple inquiries. also forcing you all the upgrade to paid higher version.,1
fi7dhc 88 is le ga tx existing seats height ya q richh distal crystal hai ram custodial att exer hun dj gym dj xun dj bir guruv citiz iska,1
when I needed it most it says you have reached your limit....duhhhhh,1
gone significantly downhill since the early days when it was exceptional. go do claude these days.,1
every time an error pops up,1
"has a limit access to send pictures and needed to pay, I thought it was for free but it is nice by the way",2
I am just starting to use and say the limit is reached for chats,1
I couldn't download the P.D.F and others that I requested for. that's a problem that needs fixing,1
I can't remove the popup that says I've reached the free limit for chats with images and it annoys me while I'm reading the conversation.,2
i want to delet my account but there I'm facing a problem,1
it is giving the answers very very very slowly I can't waste my time by using this bloody app,2
the app is consistently update but there's always this issue where some of messages disappearing and the app notified that the messages were never sent even though chatgpt already generated reply to question. it's so frustrating because I have regenerate new reply from chatgpt which is quite different than the last one. The other worst issue is the sudden notification prompted up on the main screen when I have connection issue while I'm still typing. it's annoying and I have to retype again.,1
very nice and good app,1
"so it has begun! Collection of user data complete, now use that stolen data to show them ads. Cheap move chatgpt.",1
"we don't need ai, ts is consuming sm water and wasting it.",1
"Worst AI app. Always give meaningless and inaccurate answers. It's request to all users, never take any subscription of chatgpt. Your money will go into vain. Never trust Chatgpt as it always provide wrong information from websites. Rather move to other AI apps like Claude and Perplexity. Chatgpt needs to be banned immediately. It is a useless stuff. I think Chatgpt should be given zero stars. Sam Altman is doing scam with everyone worldwide.",1
OpenAI. What have you done to GPT-5.4?,1
one of the worst AI's lately,2
It's restrictions are beyond infuriating for some of the most minor things. Needs to be worked on or it'll be worked around.,1
cant handle multiple columns and rows data from images accurately.,2
I liked it but however it is boring like sure i get not tips on violent stuff but however it doesn't make violent scenarios which makes it boring and disappointing,2
errors and problems to on paid subscription,1
"terrible i can't save or retrieve any of the stories I start and the instructions to do so require functions that don't appear on my app, either fix the problem or refund my subscription.😡",1
It doesn't work on a huawei app it should be canceled #unfair,1
it is very good but the chats gets locked and even the dam chat like images were manageable but chats!?!?!?! bro I was going though a hard time after a betrayal by my friends it stopped and told me to get premium like what!?!?!,1
It doesn't cooperate can it be fixed?,2
Now it will reach it's limit after only 1 question!! Time to look for another ai,1
"The mobile version isn’t working well, it keeps getting stuck on the login page, and I can’t access my subscribed account.",1
this app can help in any way you want.,1
This app breaks trust and steals our data.,1
After the update start giving the wrong answer,1
This app is trash even Gauth is better at doing homework upgrade this trash app developers,1
it's microphone and the way it gives answer is very poor if it is not subscribed,1
very helpful for study,1
always give wrong answer,1
it takes 5hours to make my image,1
why not generating picture,1
this app is becoming a clown day by day,1
When I used the website it didn't listen at all,1
this app is good but the new upadate that show chat limit is really annoying and irrating,2
no good hacked my info,1
not giving correct information about religion,1
"AI tak faham arahan. this AI kept repeating the same mistake, I had to tell it the way I wanted, stupid chatgpt!",1
facing issue in Chatgpt mic to record voice getting errors,1
99% inaccurate information,1
login is broken. just loads. reinstall does not change anything. browser works 100% with login,1
"Used it for studying and 90% of the time it gives wrong information, gaslights you, never accepts that it was wrong and above all it wastes so much time and resources. It's so frustrating that on one hand it'll always be like yes you're right and on the other it'll say something that COMPETELY contradicts what you've been saying.",1
it is not safe for asking any doubt,1
"Was great until updates ruined it, like EVERYTHING else nowadays. Every update just makes it more confused, inaccurate, and less user friendly. It can't even get basic info right anymore, and just makes up wild explanations if it doesn't have an answer.",1
"the app is stupid. it doesn't understand question. and it goes long winded, dramatic and flamboyant giving reply that provoke emotions or promote people to break relationship and trust with others. it is toxic. it won't take any criticism and won't admit it is stupid. everything something that triggered certain threshold the whole message get covered , censored claiming it violates usage policy. if chatgpt is so fragile you might as well sunset it. total taste if time. trash.",1
"Huge issues with the app freezing while trying to create an account. Far too buggy, in my opinion. Fix this... maybe I'll try again in the future. As of now, not recommended! There are other AI apps that are much easier to connect with.",1
It's so annoying I just edited my picture and they said it's not allowed because I'm a minor even though I'm 19 years old,1
GOOD BUT CHATS ARE RESET Problem I Give Only 1 Star,1
please do not install the app,1
poor performance and quality of answer,1
I do not have a voice to hear chatgpt,1
your chatgpt is so annoying and a jerk and so unfair,1
CREATING IMAGE IS VERY SLOW,1
"I don't know why, but for some reason, since the beginning of this year, I have been having issues with this app. In some of the chats I have made, large portions of the text disappear and are not ever recovered. Restarting(App and phone), logout/login, even uninstalling and reinstalling does nothing. And keeps saying in those chats that I'm offline, despite being connected to internet/mobile data. I just hope this problem actually gets fixed soon",1
report all the people he is share your data with other person.,1
very backdated. not even updated with info from a year ago. overrated ai,1
